ID,Condition,Overlap level,Question,Answer Time,Distance Estimation,Estimation Time
0,3,overlap-15,Possible,8.710523,233.9335,8.401637
0,1,overlap-0,Impossible,10.11398,219.3276,9.937896
0,3,overlap-60,Impossible,2.979124,204.4498,4.828319
0,1,overlap-60,Impossible,4.374678,207.7025,6.892345
0,3,overlap-60,Possible,3.009156,191.9618,3.862392
0,2,overlap-75,Impossible,2.53989,210.9534,5.328481
0,2,overlap-45,Possible,3.725194,191.3833,5.510016
0,3,overlap-45,Possible,5.474777,162.9816,5.182241
0,1,overlap-15,Possible,5.19541,175.0905,3.604613
0,1,overlap-15,Possible,17.70842,165.021,6.738056
0,3,overlap-45,Impossible,1.349241,123.8933,6.23466
0,1,overlap-45,Impossible,6.371942,140.2792,4.229911
0,2,overlap-60,Impossible,2.346658,132.2585,4.919309
0,2,overlap-15,Possible,3.121759,135.7815,4.045598
0,2,overlap-75,Impossible,4.061776,140.5658,5.974544
0,1,overlap-15,Possible,2.842034,162.7175,3.757653
0,3,overlap-30,Impossible,3.88906,162.7374,4.226053
0,3,overlap-0,Possible,2.798859,158.1204,5.296968
0,3,overlap-75,Impossible,1.488353,140.9561,3.244774
0,3,overlap-15,Possible,4.654094,116.6855,8.925088
0,3,overlap-15,Impossible,3.526205,145.747,6.22258
0,1,overlap-75,Impossible,2.05604,140.0521,4.647435
0,3,overlap-0,Possible,1.487762,141.2782,4.794466
0,3,overlap-15,Possible,3.964552,176.1017,3.911751
0,1,overlap-60,Impossible,1.464806,200.2244,7.296443
0,1,overlap-15,Possible,6.998562,165.4246,3.90132
0,2,overlap-30,Impossible,2.199892,134.5733,4.887558
0,3,overlap-60,Impossible,8.732552,145.463,4.777982
0,2,overlap-60,Impossible,2.797828,173.1389,7.360765
0,1,overlap-75,Impossible,3.280574,169.927,3.582714
0,1,overlap-60,Impossible,1.759396,132.9739,3.93835
0,3,overlap-75,Impossible,3.0185,166.2908,4.601645
0,1,overlap-30,Impossible,4.226527,190.525,5.389258
0,1,overlap-75,Impossible,2.707582,144.7738,7.440891
0,1,overlap-45,Impossible,3.028072,161.1994,5.736682
0,2,overlap-15,Possible,1.67237,158.5144,3.76511
0,2,overlap-75,Impossible,2.002861,143.5771,3.405194
0,1,overlap-30,Impossible,4.273342,149.1095,3.859639
0,3,overlap-30,Impossible,4.917688,149.9411,4.062433
0,3,overlap-75,Impossible,3.138767,160.3264,2.62347
0,3,overlap-45,Possible,7.212656,187.5539,4.847636
0,1,overlap-0,Possible,1.428618,166.5626,3.802513
0,2,overlap-45,Impossible,2.931194,174.6038,5.151132
0,1,overlap-45,Impossible,2.890897,165.6629,3.318757
0,2,overlap-15,Possible,2.88567,138.746,5.293494
0,3,overlap-60,Impossible,3.248766,149.6966,5.089265
0,2,overlap-0,Possible,1.656124,182.7001,3.569264
0,3,overlap-30,Impossible,8.033544,158.6247,4.115485
0,1,overlap-45,Impossible,4.362494,123.9755,4.966761
0,3,overlap-45,Impossible,2.416966,143.6927,6.512714
0,2,overlap-15,Possible,3.005692,136.7355,5.961725
0,3,overlap-75,Impossible,4.311367,142.2315,5.831814
0,3,overlap-60,Impossible,2.765284,140.8734,5.722424
0,2,overlap-60,Impossible,4.847873,141.2266,5.823338
0,1,overlap-45,Impossible,2.151899,142.3306,4.637196
0,2,overlap-30,Possible,2.968897,135.0365,3.987101
0,1,overlap-60,Impossible,2.457005,126.2749,6.521508
0,2,overlap-60,Impossible,1.177342,142.1484,2.722633
0,1,overlap-60,Impossible,3.409701,141.3942,3.720031
0,3,overlap-0,Possible,1.930164,137.7993,4.689037
0,1,overlap-0,Possible,2.56898,708.7294,0.0299018
0,2,overlap-30,Impossible,2.208344,123.8806,3.691082
0,2,overlap-0,Possible,2.124608,138.0504,3.147522
0,3,overlap-15,Possible,1.055684,157.1445,5.008351
0,3,overlap-30,Impossible,1.770353,163.0634,4.187313
0,2,overlap-45,Impossible,4.188643,129.2951,3.277296
0,2,overlap-75,Impossible,3.106363,130.5621,5.411653
0,3,overlap-75,Impossible,2.223644,139.4179,4.158301
0,2,overlap-30,Impossible,3.761432,138.6446,3.232028
0,1,overlap-30,Impossible,1.674887,136.0038,4.230867
0,1,overlap-30,Possible,4.083106,129.5403,3.85242
0,1,overlap-75,Impossible,1.739927,134.3171,3.546439
0,2,overlap-0,Possible,1.854121,125.1814,5.047734
0,2,overlap-45,Impossible,1.435767,123.1924,3.371903
0,1,overlap-15,Possible,3.700553,123.0226,3.298848
